Sample ID,Project ID,Project Name,Tissue,Species/Substrate,Data repository,subject_id,target,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,seed_10,seed_11,seed_12,seed_13,seed_14,seed_15,seed_16,seed_17,seed_18,seed_19,seed_20,seed_21,seed_22,seed_23,seed_24,seed_25,seed_26,seed_27,seed_28,seed_29,seed_30,seed_31,seed_32,seed_33,seed_34,seed_35,seed_36,seed_37,seed_38,seed_39,seed_40,seed_41,seed_42,seed_43,seed_44,seed_45,seed_46,seed_47,seed_48,seed_49
R_111_S111_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-313,cow_rumen,train,train,test,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,test,test,test,train,train,train,train,train,train
R_112_S112_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-325,cow_rumen,train,test,train,train,train,train,train,train,train,val,train,val,test,train,train,test,val,train,train,train,test,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,val,train,train,train,train,test,val
R_113_S113_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-332,cow_rumen,train,train,train,train,val,train,train,test,test,train,test,train,test,train,train,val,train,train,test,test,train,test,train,test,train,train,train,train,train,test,train,val,val,train,test,train,train,train,train,train,train,train,val,train,train,val,train,train,train,test
R_114_S114_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-355,cow_rumen,test,train,val,train,train,train,train,test,train,test,val,train,test,test,train,train,train,test,train,train,test,train,train,test,val,train,train,train,val,train,train,train,train,train,train,test,test,train,val,val,test,train,val,test,val,test,test,test,test,train
R_57_S57_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-14,cow_rumen,train,train,test,train,train,test,train,train,val,train,train,train,train,train,test,train,train,test,test,train,train,train,val,test,train,train,train,val,test,train,train,test,test,test,train,train,train,val,test,train,train,val,train,train,train,train,train,test,test,train
R_58_S58_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-297,cow_rumen,val,train,train,test,train,train,test,train,train,train,test,test,test,train,train,train,test,train,train,train,train,test,train,train,test,val,train,train,train,train,train,test,train,val,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train
R_59_S59_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-311,cow_rumen,test,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,test,val,train,train,train,train,test,train,train,test,train,train,train,val,test,test,train,test,train,train,train,train,test,train,val,train,test,train,train,train,train,train,train,train
R_60_S60_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-314,cow_rumen,train,train,train,train,train,val,test,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,test,train,test,train,train,test,test,val,train,val,train,train,train,test,train,val,train,train,test,val,val,train,train,train
R_61_S61_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-321,cow_rumen,test,test,test,train,val,val,val,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,test,train,train,train,test,train,train,test,test,test,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train
R_62_S62_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-357,cow_rumen,val,test,test,test,train,test,train,val,train,val,train,train,val,train,test,train,train,test,train,val,train,val,train,test,val,train,train,train,train,train,train,train,train,train,val,train,test,train,train,train,test,test,val,train,test,train,val,train,val,val
R_63_S63_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-359,cow_rumen,train,val,train,val,test,train,train,train,train,train,train,val,test,train,test,train,train,train,test,test,train,train,test,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,test,train,train,test,train,test,test,test,test,train,train
R_64_S64_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-9,cow_rumen,train,test,train,train,test,val,train,train,test,train,train,test,train,test,train,train,train,val,val,train,test,train,train,train,train,test,test,test,train,test,train,train,train,train,train,train,val,train,train,train,train,test,train,train,train,train,train,train,train,test
R_65_S65_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-34,cow_rumen,train,train,train,val,train,train,train,val,train,train,train,test,train,test,train,train,train,test,test,train,train,train,train,val,test,test,val,train,train,val,train,val,train,train,train,test,train,val,test,train,train,train,train,test,train,train,train,train,train,train
R_66_S66_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-338,cow_rumen,train,test,train,train,train,train,train,train,test,train,train,train,train,train,val,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,test,train,train,train,test,train,test,train,val,test
R_67_S67_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-11,cow_rumen,train,train,train,test,train,train,test,train,train,test,val,train,val,train,train,train,train,test,train,train,train,test,val,train,test,test,train,val,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train
R_68_S68_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-17,cow_rumen,test,train,train,train,train,test,test,val,train,test,train,train,train,train,train,val,train,test,test,test,train,train,train,train,train,test,train,val,train,test,train,test,val,train,test,test,train,test,train,train,val,train,train,train,train,train,train,train,train,train
R_69_S69_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-30,cow_rumen,test,train,train,train,test,train,train,train,train,train,train,train,train,train,test,test,test,train,train,test,test,train,test,test,train,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train
R_70_S70_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-73,cow_rumen,train,test,train,test,train,train,test,test,train,train,train,train,train,train,test,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,val,test,test,train,train,train,train,train,train,test,test,train,test,val,train,val,train,train
R_71_S71_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-289,cow_rumen,train,train,test,test,train,test,val,test,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,test,train,train,test,test,test
R_72_S72_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-294,cow_rumen,test,train,train,train,test,test,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,test,train,test,val,train,train,train,val,test,train,train,val,train,train,train,test,train,train
R_73_S73_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-307,cow_rumen,train,train,train,train,val,train,train,train,test,train,test,train,train,test,train,train,test,train,train,train,test,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,test,train,test,train,train,test,train,train,train,train,train,val,train
R_74_S74_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-8,cow_rumen,train,train,val,train,train,train,train,train,test,train,train,train,train,test,val,train,val,train,train,train,train,val,train,val,train,test,train,train,train,test,train,train,test,test,train,test,train,train,train,train,train,train,train,test,val,train,train,train,train,train
R_75_S75_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-2,cow_rumen,train,train,train,test,test,train,train,train,train,train,test,train,test,train,train,val,train,test,train,train,train,train,train,train,test,train,train,train,val,test,train,val,train,train,val,train,train,test,train,train,train,train,train,val,train,train,train,train,train,train
R_76_S76_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-4,cow_rumen,train,train,test,test,train,train,train,train,test,test,val,train,train,val,train,test,test,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,test,val,train,train,train,train,train,train,train,train,test,train,test
R_77_S77_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-12,cow_rumen,train,train,train,train,train,train,val,train,train,test,train,train,train,train,train,test,train,train,train,test,val,train,train,train,test,train,train,test,test,train,train,train,train,test,val,train,test,val,train,train,train,train,train,train,train,test,test,train,train,train
R_78_S78_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-20,cow_rumen,train,train,train,train,train,train,train,train,train,train,test,test,train,val,val,train,train,train,test,test,train,train,test,train,train,train,test,train,test,train,test,train,test,train,train,train,train,train,train,test,test,train,train,test,train,test,test,train,test,test
R_79_S79_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-44,cow_rumen,train,train,test,train,train,train,val,train,test,val,train,train,train,test,train,test,val,test,train,train,train,test,test,train,test,test,val,test,test,train,val,train,train,train,test,train,train,train,train,train,val,train,test,train,test,train,train,train,train,train
R_80_S80_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-69,cow_rumen,train,val,train,train,train,train,train,train,train,train,train,val,train,train,test,test,train,train,train,train,val,train,train,train,train,train,val,test,val,test,train,train,train,train,train,train,val,train,test,val,train,train,test,train,train,train,train,train,train,train
R_81_S81_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-295,cow_rumen,train,val,train,train,test,test,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,test,train,test,train,train,train,val,train,train,train,val,train,test,train,train,train,test,test,train,train,train,train,test,train,train,train
R_82_S82_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-313,cow_rumen,train,train,test,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,test,test,test,train,train,train,train,train,train
R_83_S83_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-325,cow_rumen,train,test,train,train,train,train,train,train,train,val,train,val,test,train,train,test,val,train,train,train,test,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,val,train,train,train,train,test,val
R_84_S84_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-332,cow_rumen,train,train,train,train,val,train,train,test,test,train,test,train,test,train,train,val,train,train,test,test,train,test,train,test,train,train,train,train,train,test,train,val,val,train,test,train,train,train,train,train,train,train,val,train,train,val,train,train,train,test
R_85_S85_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-355,cow_rumen,test,train,val,train,train,train,train,test,train,test,val,train,test,test,train,train,train,test,train,train,test,train,train,test,val,train,train,train,val,train,train,train,train,train,train,test,test,train,val,val,test,train,val,test,val,test,test,test,test,train
R_86_S86_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-14,cow_rumen,train,train,test,train,train,test,train,train,val,train,train,train,train,train,test,train,train,test,test,train,train,train,val,test,train,train,train,val,test,train,train,test,test,test,train,train,train,val,test,train,train,val,train,train,train,train,train,test,test,train
R_87_S87_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-297,cow_rumen,val,train,train,test,train,train,test,train,train,train,test,test,test,train,train,train,test,train,train,train,train,test,train,train,test,val,train,train,train,train,train,test,train,val,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train
R_88_S88_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-311,cow_rumen,test,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,test,val,train,train,train,train,test,train,train,test,train,train,train,val,test,test,train,test,train,train,train,train,test,train,val,train,test,train,train,train,train,train,train,train
R_89_S89_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-314,cow_rumen,train,train,train,train,train,val,test,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,test,train,test,train,train,test,test,val,train,val,train,train,train,test,train,val,train,train,test,val,val,train,train,train
R_90_S90_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-321,cow_rumen,test,test,test,train,val,val,val,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,test,train,train,train,test,train,train,test,test,test,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train
R_91_S91_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-357,cow_rumen,val,test,test,test,train,test,train,val,train,val,train,train,val,train,test,train,train,test,train,val,train,val,train,test,val,train,train,train,train,train,train,train,train,train,val,train,test,train,train,train,test,test,val,train,test,train,val,train,val,val
R_92_S92_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-359,cow_rumen,train,val,train,val,test,train,train,train,train,train,train,val,test,train,test,train,train,train,test,test,train,train,test,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,test,train,train,test,train,test,test,test,test,train,train
R_93_S93_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-9,cow_rumen,train,test,train,train,test,val,train,train,test,train,train,test,train,test,train,train,train,val,val,train,test,train,train,train,train,test,test,test,train,test,train,train,train,train,train,train,val,train,train,train,train,test,train,train,train,train,train,train,train,test
R_94_S94_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-34,cow_rumen,train,train,train,val,train,train,train,val,train,train,train,test,train,test,train,train,train,test,test,train,train,train,train,val,test,test,val,train,train,val,train,val,train,train,train,test,train,val,test,train,train,train,train,test,train,train,train,train,train,train
R_95_S95_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-338,cow_rumen,train,test,train,train,train,train,train,train,test,train,train,train,train,train,val,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,test,test,train,train,train,test,train,test,train,val,test
R_96_S96_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-11,cow_rumen,train,train,train,test,train,train,test,train,train,test,val,train,val,train,train,train,train,test,train,train,train,test,val,train,test,test,train,val,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train
R_97_S97_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-17,cow_rumen,test,train,train,train,train,test,test,val,train,test,train,train,train,train,train,val,train,test,test,test,train,train,train,train,train,test,train,val,train,test,train,test,val,train,test,test,train,test,train,train,val,train,train,train,train,train,train,train,train,train
R_98_S98_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-30,cow_rumen,test,train,train,train,test,train,train,train,train,train,train,train,train,train,test,test,test,train,train,test,test,train,test,test,train,val,train,train,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,train
R_99_S99_L001,,FARM-INN,rumen,cow,on the server at CNR-IBBA,JBG8C-73,cow_rumen,train,test,train,test,train,train,test,test,train,train,train,train,train,train,test,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,val,test,test,train,train,train,train,train,train,test,test,train,test,val,train,val,train,train
H_10_S10_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-289,cow_hindgut,train,train,test,test,train,test,val,test,train,train,train,test,train,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,train,train,train,train,test,train,test,test,train,train,test,test,test
H_11_S11_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-294,cow_hindgut,test,train,train,train,test,test,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,test,train,test,val,train,train,train,val,test,train,train,val,train,train,train,test,train,train
H_12_S12_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-307,cow_hindgut,train,train,train,train,val,train,train,train,test,train,test,train,train,test,train,train,test,train,train,train,test,train,train,train,train,train,train,train,test,train,test,train,train,train,train,train,train,test,train,test,train,train,test,train,train,train,train,train,val,train
H_13_S13_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-8,cow_hindgut,train,train,val,train,train,train,train,train,test,train,train,train,train,test,val,train,val,train,train,train,train,val,train,val,train,test,train,train,train,test,train,train,test,test,train,test,train,train,train,train,train,train,train,test,val,train,train,train,train,train
H_14_S14_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-4,cow_hindgut,train,train,test,test,train,train,train,train,test,test,val,train,train,val,train,test,test,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,test,val,train,train,train,train,train,train,train,train,test,train,test
H_15_S15_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-12,cow_hindgut,train,train,train,train,train,train,val,train,train,test,train,train,train,train,train,test,train,train,train,test,val,train,train,train,test,train,train,test,test,train,train,train,train,test,val,train,test,val,train,train,train,train,train,train,train,test,test,train,train,train
H_16_S16_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-69,cow_hindgut,train,val,train,train,train,train,train,train,train,train,train,val,train,train,test,test,train,train,train,train,val,train,train,train,train,train,val,test,val,test,train,train,train,train,train,train,val,train,test,val,train,train,test,train,train,train,train,train,train,train
H_17_S17_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-313,cow_hindgut,train,train,test,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,val,val,train,train,train,train,train,val,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,test,test,test,train,train,train,train,train,train
H_18_S18_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-332,cow_hindgut,train,train,train,train,val,train,train,test,test,train,test,train,test,train,train,val,train,train,test,test,train,test,train,test,train,train,train,train,train,test,train,val,val,train,test,train,train,train,train,train,train,train,val,train,train,val,train,train,train,test
H_19_S19_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-297,cow_hindgut,val,train,train,test,train,train,test,train,train,train,test,test,test,train,train,train,test,train,train,train,train,test,train,train,test,val,train,train,train,train,train,test,train,val,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train
H_1_S1_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-14,cow_hindgut,train,train,test,train,train,test,train,train,val,train,train,train,train,train,test,train,train,test,test,train,train,train,val,test,train,train,train,val,test,train,train,test,test,test,train,train,train,val,test,train,train,val,train,train,train,train,train,test,test,train
H_20_S20_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-9,cow_hindgut,train,test,train,train,test,val,train,train,test,train,train,test,train,test,train,train,train,val,val,train,test,train,train,train,train,test,test,test,train,test,train,train,train,train,train,train,val,train,train,train,train,test,train,train,train,train,train,train,train,test
H_21_S21_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-11,cow_hindgut,train,train,train,test,train,train,test,train,train,test,val,train,val,train,train,train,train,test,train,train,train,test,val,train,test,test,train,val,train,train,train,train,train,train,test,train,train,train,train,train,train,train,train,train,train,test,train,train,train,train
H_22_S22_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-17,cow_hindgut,test,train,train,train,train,test,test,val,train,test,train,train,train,train,train,val,train,test,test,test,train,train,train,train,train,test,train,val,train,test,train,test,val,train,test,test,train,test,train,train,val,train,train,train,train,train,train,train,train,train
H_23_S23_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-73,cow_hindgut,train,test,train,test,train,train,test,test,train,train,train,train,train,train,test,train,val,train,train,train,train,train,train,train,train,train,train,train,train,train,val,train,val,test,test,train,train,train,train,train,train,test,test,train,test,val,train,val,train,train
H_24_S24_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-20,cow_hindgut,train,train,train,train,train,train,train,train,train,train,test,test,train,val,val,train,train,train,test,test,train,train,test,train,train,train,test,train,test,train,test,train,test,train,train,train,train,train,train,test,test,train,train,test,train,test,test,train,test,test
H_25_S25_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-295,cow_hindgut,train,val,train,train,test,test,train,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train,train,train,test,train,test,train,train,train,val,train,train,train,val,train,test,train,train,train,test,test,train,train,train,train,test,train,train,train
H_26_S26_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-355,cow_hindgut,test,train,val,train,train,train,train,test,train,test,val,train,test,test,train,train,train,test,train,train,test,train,train,test,val,train,train,train,val,train,train,train,train,train,train,test,test,train,val,val,test,train,val,test,val,test,test,test,test,train
H_27_S27_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-325,cow_hindgut,train,test,train,train,train,train,train,train,train,val,train,val,test,train,train,test,val,train,train,train,test,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train,test,test,train,train,train,train,train,val,train,train,train,train,test,val
H_28_S28_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-14,cow_hindgut,train,train,test,train,train,test,train,train,val,train,train,train,train,train,test,train,train,test,test,train,train,train,val,test,train,train,train,val,test,train,train,test,test,test,train,train,train,val,test,train,train,val,train,train,train,train,train,test,test,train
H_29_S29_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-297,cow_hindgut,val,train,train,test,train,train,test,train,train,train,test,test,test,train,train,train,test,train,train,train,train,test,train,train,test,val,train,train,train,train,train,test,train,val,train,test,train,train,test,train,train,train,train,train,train,train,train,train,train,train
H_2_S2_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-311,cow_hindgut,test,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,test,val,train,train,train,train,test,train,train,test,train,train,train,val,test,test,train,test,train,train,train,train,test,train,val,train,test,train,train,train,train,train,train,train
H_30_S30_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-311,cow_hindgut,test,train,train,train,train,train,train,train,train,train,test,train,test,train,train,train,test,val,train,train,train,train,test,train,train,test,train,train,train,val,test,test,train,test,train,train,train,train,test,train,val,train,test,train,train,train,train,train,train,train
H_31_S31_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-314,cow_hindgut,train,train,train,train,train,val,test,test,train,train,train,train,train,test,train,train,train,train,train,train,train,train,test,train,train,train,test,train,test,train,train,test,test,val,train,val,train,train,train,test,train,val,train,train,test,val,val,train,train,train
H_32_S32_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-321,cow_hindgut,test,test,test,train,val,val,val,train,train,train,train,train,train,train,train,test,train,train,train,train,test,train,train,test,train,train,train,test,train,train,test,test,test,train,train,train,train,test,test,train,train,train,train,train,train,train,train,train,train,train
H_33_S33_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-357,cow_hindgut,val,test,test,test,train,test,train,val,train,val,train,train,val,train,test,train,train,test,train,val,train,val,train,test,val,train,train,train,train,train,train,train,train,train,val,train,test,train,train,train,test,test,val,train,test,train,val,train,val,val
H_34_S34_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-359,cow_hindgut,train,val,train,val,test,train,train,train,train,train,train,val,test,train,test,train,train,train,test,test,train,train,test,train,train,train,train,train,test,train,test,train,train,train,train,train,train,train,train,test,train,train,test,train,test,test,test,test,train,train
H_35_S35_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-9,cow_hindgut,train,test,train,train,test,val,train,train,test,train,train,test,train,test,train,train,train,val,val,train,test,train,train,train,train,test,test,test,train,test,train,train,train,train,train,train,val,train,train,train,train,test,train,train,train,train,train,train,train,test
H_36_S36_L001,,FARM-INN,hindgut,cow,on the server at CNR-IBBA,JBG8C-34,cow_hindgut,train,train,train,val,train,train,train,val,train,train,train,test,train,test,train,train,train,test,test,train,train,train,train,val,test,test,val,train,train,val,train,val,train,train,train,test,train,val,test,train,train,train,train,test,train,train,train,train,train,train
