Unique name,BioSample,Title,Organism,Tax id,Submission date,Status
RAL522,SAMEA115791350,RAL522,milk metagenome,1616037,2nd Jul 2024,Private
RAL509,SAMEA115791349,RAL509,milk metagenome,1616037,2nd Jul 2024,Private
RAL508,SAMEA115791348,RAL508,milk metagenome,1616037,2nd Jul 2024,Private
RAL507,SAMEA115791347,RAL507,milk metagenome,1616037,2nd Jul 2024,Private
RAL506,SAMEA115791346,RAL506,milk metagenome,1616037,2nd Jul 2024,Private
RAL521,SAMEA115791345,RAL521,milk metagenome,1616037,2nd Jul 2024,Private
RAL520,SAMEA115791344,RAL520,milk metagenome,1616037,2nd Jul 2024,Private
RAL519,SAMEA115791343,RAL519,milk metagenome,1616037,2nd Jul 2024,Private
RAL518,SAMEA115791342,RAL518,milk metagenome,1616037,2nd Jul 2024,Private
RAL649,SAMEA115791341,RAL649,milk metagenome,1616037,2nd Jul 2024,Private
RAL648,SAMEA115791340,RAL648,milk metagenome,1616037,2nd Jul 2024,Private
RAL647,SAMEA115791339,RAL647,milk metagenome,1616037,2nd Jul 2024,Private
RAL646,SAMEA115791338,RAL646,milk metagenome,1616037,2nd Jul 2024,Private
